1,16.5,2,-1,1,33,33
1,16.5,2,-1,1,66,82.5
1,16.5,2,-1,1,181.5,214.5
1,16.5,2,-1,1,280.5,280.5
1,16.5,2,-1,1,330,330
1,16.5,2,-1,1,363,363
1,16.5,2,-1,1,495,511.5
1,16.5,2,-1,1,561,577.5
1,16.5,2,-1,1,660,660
1,16.5,2,-1,1,742.5,742.5
1,16.5,2,-1,1,775.5,775.5
1,16.5,2,-1,1,841.5,891
1,16.5,2,-1,1,924,924
1,16.5,2,-1,1,1072.5,1072.5
1,16.5,2,-1,1,1155,1171.5
1,16.5,2,-1,1,1221,1221
1,16.5,2,-1,1,1270.5,1270.5
1,16.5,2,-1,1,1369.5,1369.5
1,16.5,2,-1,1,1435.5,1452
1,16.5,2,-1,1,1518,1518
1,16.5,2,-1,1,1551,1551
1,16.5,2,-1,1,1650,1666.5
1,16.5,2,-1,1,1699.5,1699.5
1,16.5,2,-1,1,1732.5,1749
1,16.5,2,-1,1,1782,1782
